#EXPORTTYPE:DATA SINGLE
#FORMAT:NETZSCH5
#FTYPE:ANSI
#IDENTITY:001922
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#TEMPCAL:TCALZERO.TMX
#SENSITIVITY:SENSZERO.EXX
#SAMPLE:bline
#SAMPLE MASS /mg:6.17
#MATERIAL:íåò
#REFERENCE:
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:Pan Al, closed
#SAMPLE CRUCIBLE MASS /mg:0
#REFERENCE CRUCIBLE MASS /mg:0
#M.RANGE /µV:5000
#TAU-R:---
#CORR. CODE:020
#EXO:+1
#RANGE:-10°C/16,0(K/min)/250°C
#SEGMENT:S2/2
#SEG. 2:-10°C/16,0(K/min)/250°C

##Temp./°C;Time/min;DSC/(uV/mg);Sensit./(uV/mW)
 76.70364;12.14100;    -1.66333;1.00000
 76.88012;12.15200;    -1.66411;1.00000
 77.05652;12.16300;    -1.66555;1.00000
 77.23292;12.17400;    -1.66574;1.00000
 77.40941;12.18500;    -1.66584;1.00000
 77.58594;12.19600;    -1.66485;1.00000
 77.76224;12.20700;    -1.66518;1.00000
 77.93869;12.21800;    -1.66637;1.00000
 78.11513;12.22900;    -1.66591;1.00000
 78.29155;12.24000;    -1.66552;1.00000
 78.46789;12.25100;    -1.66518;1.00000
 78.64421;12.26200;    -1.66504;1.00000
 78.82059;12.27300;    -1.66418;1.00000
 78.99690;12.28400;    -1.66370;1.00000
 79.17329;12.29500;    -1.66514;1.00000
 79.34985;12.30600;    -1.66505;1.00000
 79.52651;12.31700;    -1.66556;1.00000
 79.70302;12.32800;    -1.66650;1.00000
 79.87963;12.33900;    -1.66665;1.00000
 80.05630;12.35000;    -1.66715;1.00000
 80.23302;12.36100;    -1.66732;1.00000
 80.40966;12.37200;    -1.66773;1.00000
 80.58637;12.38300;    -1.66747;1.00000
 80.76309;12.39400;    -1.66712;1.00000
 80.93988;12.40500;    -1.66843;1.00000
 81.11664;12.41600;    -1.66882;1.00000
 81.29343;12.42700;    -1.66941;1.00000
 81.47016;12.43800;    -1.66951;1.00000
 81.64681;12.44900;    -1.66788;1.00000
 81.82338;12.46000;    -1.66852;1.00000
 81.99990;12.47100;    -1.66827;1.00000
 82.17638;12.48200;    -1.66709;1.00000
 82.35281;12.49300;    -1.66674;1.00000
 82.52926;12.50400;    -1.66674;1.00000
 82.70570;12.51500;    -1.66589;1.00000
 82.88214;12.52600;    -1.66565;1.00000
 83.05851;12.53700;    -1.66335;1.00000
 83.23489;12.54800;    -1.66302;1.00000
 83.41125;12.55900;    -1.66337;1.00000
 83.58763;12.57000;    -1.66537;1.00000
 83.76406;12.58100;    -1.66563;1.00000
 83.94042;12.59200;    -1.66573;1.00000
 84.11681;12.60300;    -1.66600;1.00000
 84.29326;12.61400;    -1.66695;1.00000
 84.46965;12.62500;    -1.66729;1.00000
 84.64613;12.63600;    -1.66743;1.00000
 84.82265;12.64700;    -1.66638;1.00000
 84.99909;12.65800;    -1.66661;1.00000
 85.17569;12.66900;    -1.66648;1.00000
 85.35217;12.68000;    -1.66729;1.00000
 85.52864;12.69100;    -1.66899;1.00000
 85.70526;12.70200;    -1.66949;1.00000
 85.88194;12.71300;    -1.66958;1.00000
 86.05853;12.72400;    -1.67031;1.00000
 86.23528;12.73500;    -1.67060;1.00000
 86.41202;12.74600;    -1.67005;1.00000
 86.58884;12.75700;    -1.67031;1.00000
 86.76557;12.76800;    -1.67398;1.00000
 86.94236;12.77900;    -1.67336;1.00000
 87.11904;12.79000;    -1.67426;1.00000
 87.29584;12.80100;    -1.67463;1.00000
 87.47243;12.81200;    -1.67487;1.00000
 87.64908;12.82300;    -1.67416;1.00000
 87.82585;12.83400;    -1.67350;1.00000
 88.00248;12.84500;    -1.67509;1.00000
 88.17899;12.85600;    -1.67453;1.00000
 88.35557;12.86700;    -1.67460;1.00000
 88.53216;12.87800;    -1.67565;1.00000
 88.70859;12.88900;    -1.67511;1.00000
 88.88502;12.90000;    -1.67441;1.00000
