#EXPORTTYPE:DATA SINGLE
#FILE:00592013__Al2O3_900_5_N2_20_air_20.ngb-ds1
#FTYPE:ANSI
#IDENTITY:005920
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#PROJECT:
#DATE/TIME:21.07.2025 08:33
#CORR. FILE:005919_bline_Al2O3_900_5_N2_20_air_20.ngb-bs1
#TEMPCAL:TCALZERO.TCX
#SENSITIVITY:SENSZERO.EXX
#LABORATORY: 11
#OPERATOR:
#REMARK:
#SAMPLE:1
#SAMPLE MASS /mg:9.99
#MATERIAL:
#REFERENCE:
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:DSC/TG pan Al2O3
#SAMPLE CRUCIBLE MASS /mg:0
#REFERENCE CRUCIBLE MASS /mg:0
#DSC RANGE /V:5000
#TG RANGE /mg:5000
#TAU-R:---
#CORR. CODE:020
#EXO:+1
#RANGE:35C/00:00/35C/5,0(K/min)/920C/
#SEGMENT:S1-2/2
#SEG. 1:35C/00:15/35C
#SEG. 2:35C/5,0(K/min)/920C

##Temp./C;Time/min;DSC/(uV/mg);Sensit./(uV/mW);Segment
34.17636;0.25;1.2211237567161117e-229;1.0;1
34.17971;0.5;1.2281589022243825e-229;1.0;1
34.17888;0.75;1.2264121017862008e-229;1.0;1
34.17688;1.0;1.2222131337894874e-229;1.0;1
34.17253;1.25;1.2131299039383573e-229;1.0;1
34.17059;1.5;1.209100767554062e-229;1.0;1
34.16876;1.75;1.2053123417532717e-229;1.0;1
34.16682;2.0;1.2013091451159084e-229;1.0;1
34.16441;2.25;1.1963545971038225e-229;1.0;1
34.16576;2.5;1.1991274460381682e-229;1.0;1
34.17024;2.75;1.208375286356797e-229;1.0;1
34.16623;3.0;1.200094314287225e-229;1.0;1
34.16288;3.25;1.1932197781262381e-229;1.0;1
34.16018;3.5;1.1877077504130788e-229;1.0;1
34.158;3.75;1.1832758653109816e-229;1.0;1
34.16165;4.0;1.1907055810776604e-229;1.0;1
34.16312;4.25;1.1937109712109325e-229;1.0;1
34.16582;4.5;1.1992508326816653e-229;1.0;1
34.16759;4.75;1.2028964504768822e-229;1.0;1
34.16271;5.0;1.1928719718687017e-229;1.0;1
34.15965;5.25;1.1866287503310881e-229;1.0;1
34.15641;5.5;1.1800538584827752e-229;1.0;1
34.15535;5.75;1.1779107248897443e-229;1.0;1
34.15588;6.0;1.1789818051792853e-229;1.0;1
34.15641;6.25;1.1800538584827752e-229;1.0;1
34.15753;6.5;1.1823225342560448e-229;1.0;1
34.15565;6.75;1.1785168772985886e-229;1.0;1
34.15471;7.0;1.1766186405503138e-229;1.0;1
34.15547;7.25;1.1781531484679233e-229;1.0;1
34.15894;7.5;1.1851848319204875e-229;1.0;1
34.15988;7.75;1.1870968753190913e-229;1.0;1
34.157;8.0;1.1812484218667918e-229;1.0;1
34.15382;8.25;1.1748241891187033e-229;1.0;1
34.15247;8.5;1.1721074860454158e-229;1.0;1
34.15324;8.75;1.1736562430619053e-229;1.0;1
34.15406;9.0;1.1753078167257422e-229;1.0;1
34.15082;9.25;1.1687955930211806e-229;1.0;1
34.15171;9.5;1.170580844968111e-229;1.0;1
34.15165;9.75;1.1704604053127457e-229;1.0;1
34.15165;10.0;1.1704604053127457e-229;1.0;1
34.15094;10.25;1.1690361424046504e-229;1.0;1
34.14553;10.5;1.1582403690348984e-229;1.0;1
34.14282;10.75;1.152870005465894e-229;1.0;1
34.14235;11.0;1.1519411485973124e-229;1.0;1
34.13906;11.25;1.1454600514205046e-229;1.0;1
34.13618;11.5;1.1398165388129152e-229;1.0;1
34.13253;11.75;1.1327040645684072e-229;1.0;1
34.12859;12.0;1.1250762458437872e-229;1.0;1
34.12518;12.25;1.1185159447784745e-229;1.0;1
34.12371;12.5;1.1156996985266741e-229;1.0;1
34.123;12.75;1.1143420089479539e-229;1.0;1
34.12447;13.0;1.1171548313766622e-229;1.0;1
34.12429;13.25;1.1168100233892143e-229;1.0;1
34.12471;13.5;1.117614740808806e-229;1.0;1
34.12024;13.75;1.1090798909787818e-229;1.0;1
34.115;14.0;1.0991577036999401e-229;1.0;1
34.10647;14.25;1.0831950767707181e-229;1.0;1
34.10235;14.5;1.0755682648900211e-229;1.0;1
34.10264;14.75;1.0761033439088648e-229;1.0;1
34.11549;15.0;1.1000817708064023e-229;1.0;2
34.10516;15.25;1.0807642064242754e-229;1.0;2
34.13672;15.5;1.1408725773564428e-229;1.0;2
34.23371;15.75;1.3473135008913857e-229;1.0;2
