#EXPORTTYPE:DATA SINGLE
#FILE:00592013__Al2O3_900_5_N2_20_air_20.ngb-ds1
#FTYPE:ANSI
#IDENTITY:005920
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#PROJECT:
#DATE/TIME:21.07.2025 08:33
#CORR. FILE:005919_bline_Al2O3_900_5_N2_20_air_20.ngb-bs1
#TEMPCAL:TCALZERO.TCX
#SENSITIVITY:SENSZERO.EXX
#LABORATORY: 11
#OPERATOR:
#REMARK:
#SAMPLE:1
#SAMPLE MASS /mg:9.99
#MATERIAL:
#REFERENCE:
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:DSC/TG pan Al2O3
#SAMPLE CRUCIBLE MASS /mg:0
#REFERENCE CRUCIBLE MASS /mg:0
#DSC RANGE /V:5000
#TG RANGE /mg:5000
#TAU-R:---
#CORR. CODE:020
#EXO:+1
#RANGE:35C/00:00/35C/5,0(K/min)/920C/
#SEGMENT:S1-2/2
#SEG. 1:35C/00:15/35C
#SEG. 2:35C/5,0(K/min)/920C

##Temp./C;Time/min;DSC/(uV/mg);Sensit./(uV/mW);Segment
34.17636;0.25;2.2651267786552678e-141;1.0;1
34.17971;0.5;2.2747956724225112e-141;1.0;1
34.17888;0.75;2.2723962624066366e-141;1.0;1
34.17688;1.0;2.2666249270902984e-141;1.0;1
34.17253;1.25;2.2541227553282376e-141;1.0;1
34.17059;1.5;2.2485692974755557e-141;1.0;1
34.16876;1.75;2.2433432479876596e-141;1.0;1
34.16682;2.0;2.2378163066329742e-141;1.0;1
34.16441;2.25;2.2309692957912615e-141;1.0;1
34.16576;2.5;2.2348021773800533e-141;1.0;1
34.17024;2.75;2.2475688405749514e-141;1.0;1
34.16623;3.0;2.2361381304006264e-141;1.0;1
34.16288;3.25;2.226633297378083e-141;1.0;1
34.16018;3.5;2.2190020514194924e-141;1.0;1
34.158;3.75;2.212859585354625e-141;1.0;1
34.16165;4.0;2.2231535967186308e-141;1.0;1
34.16312;4.25;2.2273128971555044e-141;1.0;1
34.16582;4.5;2.234972680190884e-141;1.0;1
34.16759;4.75;2.2400083604528104e-141;1.0;1
34.16271;5.0;2.22615203947275e-141;1.0;1
34.15965;5.25;2.2175071350690642e-141;1.0;1
34.15641;5.5;2.208390239160383e-141;1.0;1
34.15535;5.75;2.2054156833171694e-141;1.0;1
34.15588;6.0;2.2069024608588057e-141;1.0;1
34.15641;6.25;2.208390239160383e-141;1.0;1
34.15753;6.5;2.2115375184574066e-141;1.0;1
34.15565;6.75;2.2062571326371096e-141;1.0;1
34.15471;7.0;2.203621662218903e-141;1.0;1
34.15547;7.25;2.205752224586978e-141;1.0;1
34.15894;7.5;2.2155060869686783e-141;1.0;1
34.15988;7.75;2.218155748811885e-141;1.0;1
34.157;8.0;2.2100476231287182e-141;1.0;1
34.15382;8.25;2.2011292734371677e-141;1.0;1
34.15247;8.5;2.1973540554108437e-141;1.0;1
34.15324;8.75;2.1995065350870853e-141;1.0;1
34.15406;9.0;2.2018011009796046e-141;1.0;1
34.15082;9.25;2.1927486785648275e-141;1.0;1
34.15171;9.5;2.1952315924396952e-141;1.0;1
34.15165;9.75;2.195064116779688e-141;1.0;1
34.15165;10.0;2.195064116779688e-141;1.0;1
34.15094;10.25;2.1930832898554324e-141;1.0;1
34.14553;10.5;2.1780484412401425e-141;1.0;1
34.14282;10.75;2.1705558537051352e-141;1.0;1
34.14235;11.0;2.1692590224208676e-141;1.0;1
34.13906;11.25;2.1602028388911327e-141;1.0;1
34.13618;11.5;2.1523062289488066e-141;1.0;1
34.13253;11.75;2.1423397695336194e-141;1.0;1
34.12859;12.0;2.131633164966823e-141;1.0;1
34.12518;12.25;2.1224099273264373e-141;1.0;1
34.12371;12.5;2.1184462285212145e-141;1.0;1
34.123;12.75;2.1165344368030775e-141;1.0;1
34.12447;13.0;2.1204945640932398e-141;1.0;1
34.12429;13.25;2.1200092533418974e-141;1.0;1
34.12471;13.5;2.1211418176501287e-141;1.0;1
34.12024;13.75;2.1091190327585808e-141;1.0;1
34.115;14.0;2.0951118128010433e-141;1.0;1
34.10647;14.25;2.0725083753580694e-141;1.0;1
34.10235;14.5;2.0616782551476826e-141;1.0;1
34.10264;14.75;2.062438717251585e-141;1.0;1
34.11549;15.0;2.096417702011415e-141;1.0;2
34.10516;15.25;2.0690586726440518e-141;1.0;2
34.13672;15.5;2.1537846447432067e-141;1.0;2
34.23371;15.75;2.4364620955806785e-141;1.0;2
34.42622;16.0;3.111949122678733e-141;1.0;2
34.72104;16.25;4.5259154689289734e-141;1.0;2
35.12375;16.5;7.54673313090955e-141;1.0;2
35.61708;16.75;1.4110402493246265e-140;1.0;2
36.1925;17.0;2.925571005883124e-140;1.0;2
36.83655;17.25;6.610363282348605e-140;1.0;2
37.54164;17.5;1.6116702271315002e-139;1.0;2
38.29774;17.75;4.185327897030715e-139;1.0;2
39.09878;18.0;1.148524679582731e-138;1.0;2
39.94421;18.25;3.327295374991978e-138;1.0;2
40.82469;18.5;1.0054726913995974e-137;1.0;2
