#EXPORTTYPE:DATA SINGLE
#FILE:00592013__Al2O3_900_5_N2_20_air_20.ngb-ds1
#FTYPE:ANSI
#IDENTITY:005920
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#PROJECT:
#DATE/TIME:21.07.2025 08:33
#CORR. FILE:005919_bline_Al2O3_900_5_N2_20_air_20.ngb-bs1
#TEMPCAL:TCALZERO.TCX
#SENSITIVITY:SENSZERO.EXX
#LABORATORY: 11
#OPERATOR:
#REMARK:
#SAMPLE:1
#SAMPLE MASS /mg:9.99
#MATERIAL:
#REFERENCE:
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:DSC/TG pan Al2O3
#SAMPLE CRUCIBLE MASS /mg:0
#REFERENCE CRUCIBLE MASS /mg:0
#DSC RANGE /V:5000
#TG RANGE /mg:5000
#TAU-R:---
#CORR. CODE:020
#EXO:+1
#RANGE:35C/00:00/35C/5,0(K/min)/920C/
#SEGMENT:S1-2/2
#SEG. 1:35C/00:15/35C
#SEG. 2:35C/5,0(K/min)/920C

##Temp./C;Time/min;DSC/(uV/mg);Sensit./(uV/mW);Segment
34.17636;0.25;3.6407810980381347e-290;1.0;1
34.17971;0.5;3.666671256495087e-290;1.0;1
34.17888;0.75;3.660239586614438e-290;1.0;1
34.17688;1.0;3.644787859378048e-290;1.0;1
34.17253;1.25;3.6114050383201666e-290;1.0;1
34.17059;1.5;3.596615747762507e-290;1.0;1
34.16876;1.75;3.5827204988252825e-290;1.0;1
34.16682;2.0;3.5680485884886274e-290;1.0;1
34.16441;2.25;3.549905735221732e-290;1.0;1
34.16576;2.5;3.560057358068648e-290;1.0;1
34.17024;2.75;3.5939540281216874e-290;1.0;1
34.16623;3.0;3.563598430220448e-290;1.0;1
34.16288;3.25;3.5384355265902733e-290;1.0;1
34.16018;3.5;3.518284250130834e-290;1.0;1
34.158;3.75;3.5020976644413636e-290;1.0;1
34.16165;4.0;3.529241237719916e-290;1.0;1
34.16312;4.25;3.5402323229507647e-290;1.0;1
34.16582;4.5;3.5605092139818175e-290;1.0;1
34.16759;4.75;3.573864776004492e-290;1.0;1
34.16271;5.0;3.537163347203453e-290;1.0;1
34.15965;5.25;3.514342114268972e-290;1.0;1
34.15641;5.5;3.490338801415901e-290;1.0;1
34.15535;5.75;3.482521485775821e-290;1.0;1
34.15588;6.0;3.4864279542295716e-290;1.0;1
34.15641;6.25;3.490338801415901e-290;1.0;1
34.15753;6.5;3.4986176588511087e-290;1.0;1
34.15565;6.75;3.484732156828727e-290;1.0;1
34.15471;7.0;3.4778100701015014e-290;1.0;1
34.15547;7.25;3.483405585983257e-290;1.0;1
34.15894;7.5;3.509068055731812e-290;1.0;1
34.15988;7.75;3.5160523100905345e-290;1.0;1
34.157;8.0;3.4946975423557785e-290;1.0;1
34.15382;8.25;3.4712688428659866e-290;1.0;1
34.15247;8.5;3.4613702160893943e-290;1.0;1
34.15324;8.75;3.467012638477177e-290;1.0;1
34.15406;9.0;3.473031557744975e-290;1.0;1
34.15082;9.25;3.449310190396029e-290;1.0;1
34.15171;9.5;3.4558100699326963e-290;1.0;1
34.15165;9.75;3.455371491320782e-290;1.0;1
34.15165;10.0;3.455371491320782e-290;1.0;1
34.15094;10.25;3.450185865621459e-290;1.0;1
34.14553;10.5;3.410927394208067e-290;1.0;1
34.14282;10.75;3.3914299979522967e-290;1.0;1
34.14235;11.0;3.388059880739446e-290;1.0;1
34.13906;11.25;3.3645625745140345e-290;1.0;1
34.13618;11.5;3.344127207378336e-290;1.0;1
34.13253;11.75;3.3184063195549954e-290;1.0;1
34.12859;12.0;3.290863673666657e-290;1.0;1
34.12518;12.25;3.267210478808473e-290;1.0;1
34.12371;12.5;3.257066413371143e-290;1.0;1
34.123;12.75;3.252178176053145e-290;1.0;1
34.12447;13.0;3.262307028610423e-290;1.0;1
34.12429;13.25;3.2610650692949365e-290;1.0;1
34.12471;13.5;3.263963709611473e-290;1.0;1
34.12024;13.75;3.233245551395116e-290;1.0;1
34.115;14.0;3.19760351291393e-290;1.0;1
34.10647;14.25;3.140420993549982e-290;1.0;1
34.10235;14.5;3.1131688701513227e-290;1.0;1
34.10264;14.75;3.115079346658698e-290;1.0;1
34.11549;15.0;3.20091974417861e-290;1.0;2
34.10516;15.25;3.1317301276703424e-290;1.0;2
34.13672;15.5;3.3479493686799405e-290;1.0;2
34.23371;15.75;4.110320322984073e-290;1.0;2
34.42622;16.0;6.175586863434213e-290;1.0;2
34.72104;16.25;1.1516971038747487e-289;1.0;2
35.12375;16.5;2.696758756356278e-289;1.0;2
35.61708;16.75;7.641372219578447e-289;1.0;2
36.1925;17.0;2.572288439950591e-288;1.0;2
36.83655;17.25;9.994658090404067e-288;1.0;2
37.54164;17.5;4.4094830754186343e-287;1.0;2
38.29774;17.75;2.1619073091603405e-286;1.0;2
39.09878;18.0;1.1625586714762775e-285;1.0;2
39.94421;18.25;6.846411392924509e-285;1.0;2
40.82469;18.5;4.3284043057202904e-284;1.0;2
41.7454;18.75;2.968764148243723e-283;1.0;2
42.69183;19.0;2.1423754165987524e-282;1.0;2
43.66753;19.25;1.6382982676497725e-281;1.0;2
44.66731;19.5;1.3129695849455206e-280;1.0;2
45.6928;19.75;1.10622972230229e-279;1.0;2
46.74168;20.0;9.749018308353026e-279;1.0;2
47.8057;20.25;8.83241248744696e-278;1.0;2
48.88834;20.5;8.284234717045354e-277;1.0;2
49.98967;20.75;8.043675389862962e-276;1.0;2
51.10446;21.0;7.996876745506068e-275;1.0;2
52.23305;21.25;8.144936961553758e-274;1.0;2
53.37523;21.5;8.493786458017931e-273;1.0;2
54.5253;21.75;8.962440875272755e-272;1.0;2
55.68474;22.0;9.597012853673614e-271;1.0;2
56.85935;22.25;1.0551624968713695e-269;1.0;2
58.04364;22.5;1.1777306677094916e-268;1.0;2
59.23476;22.75;1.3266363428393847e-267;1.0;2
60.43665;23.0;1.520092446656007e-266;1.0;2
61.64896;23.25;1.7702564473133682e-265;1.0;2
62.86358;23.5;2.061030490934805e-264;1.0;2
64.0847;23.75;2.4191831156734963e-263;1.0;2
65.30787;24.0;2.8370603664711736e-262;1.0;2
66.53528;24.25;3.338730815444786e-261;1.0;2
67.76738;24.5;3.94617008401088e-260;1.0;2
69.00398;24.75;4.682325362858032e-259;1.0;2
70.24448;25.0;5.570508060543857e-258;1.0;2
71.48621;25.25;6.609168545792605e-257;1.0;2
72.72937;25.5;7.823182264845604e-256;1.0;2
73.97395;25.75;9.238219719607282e-255;1.0;2
75.22398;26.0;1.0970197873323623e-253;1.0;2
76.46965;26.25;1.2847704343585824e-252;1.0;2
77.71669;26.5;1.5008773584545368e-251;1.0;2
78.96561;26.75;1.750657515475549e-250;1.0;2
80.21691;27.0;2.0408400314289557e-249;1.0;2
81.47146;27.25;2.381741890489676e-248;1.0;2
82.72618;27.5;2.765853948027947e-247;1.0;2
83.9838;27.75;3.213077819162341e-246;1.0;2
85.24469;28.0;3.736517998628942e-245;1.0;2
