#EXPORTTYPE:DATA SINGLE
#FILE:00592013__Al2O3_900_5_N2_20_air_20.ngb-ds1
#FTYPE:ANSI
#IDENTITY:005920
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#PROJECT:
#DATE/TIME:21.07.2025 08:33
#CORR. FILE:005919_bline_Al2O3_900_5_N2_20_air_20.ngb-bs1
#TEMPCAL:TCALZERO.TCX
#SENSITIVITY:SENSZERO.EXX
#LABORATORY: 11
#OPERATOR:
#REMARK:
#SAMPLE:1
#SAMPLE MASS /mg:9.99
#MATERIAL:
#REFERENCE:
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:DSC/TG pan Al2O3
#SAMPLE CRUCIBLE MASS /mg:0
#REFERENCE CRUCIBLE MASS /mg:0
#DSC RANGE /V:5000
#TG RANGE /mg:5000
#TAU-R:---
#CORR. CODE:020
#EXO:+1
#RANGE:35C/00:00/35C/5,0(K/min)/920C/
#SEGMENT:S1-2/2
#SEG. 1:35C/00:15/35C
#SEG. 2:35C/5,0(K/min)/920C

##Temp./C;Time/min;DSC/(uV/mg);Sensit./(uV/mW);Segment
34.17636;0.25;1.4840987376991577e-67;1.0;1
34.17971;0.5;1.48674339556044e-67;1.0;1
34.17888;0.75;1.4860877145469926e-67;1.0;1
34.17688;1.0;1.4845089441024114e-67;1.0;1
34.17253;1.25;1.4810808884135421e-67;1.0;1
34.17059;1.5;1.479554599650824e-67;1.0;1
34.16876;1.75;1.4781162900220181e-67;1.0;1
34.16682;2.0;1.4765930464565837e-67;1.0;1
34.16441;2.25;1.4747029486599851e-67;1.0;1
34.16576;2.5;1.4757614198577977e-67;1.0;1
34.17024;2.75;1.4792794052610997e-67;1.0;1
34.16623;3.0;1.4761301023284477e-67;1.0;1
34.16288;3.25;1.4735042627247998e-67;1.0;1
34.16018;3.5;1.4713913032425154e-67;1.0;1
34.158;3.75;1.4696874879498959e-67;1.0;1
34.16165;4.0;1.472541317488418e-67;1.0;1
34.16312;4.25;1.4736922276490263e-67;1.0;1
34.16582;4.5;1.4758084805938995e-67;1.0;1
34.16759;4.75;1.4771974454626049e-67;1.0;1
34.16271;5.0;1.4733711353620396e-67;1.0;1
34.15965;5.25;1.470976891861223e-67;1.0;1
34.15641;5.5;1.4684460373420168e-67;1.0;1
34.15535;5.75;1.4676189843579366e-67;1.0;1
34.15588;6.0;1.4680324527962056e-67;1.0;1
34.15641;6.25;1.4684460373420168e-67;1.0;1
34.15753;6.5;1.469320409399515e-67;1.0;1
34.15565;6.75;1.467853008838222e-67;1.0;1
34.15471;7.0;1.4671198564242629e-67;1.0;1
34.15547;7.25;1.4677125896869071e-67;1.0;1
34.15894;7.5;1.4704219193014391e-67;1.0;1
34.15988;7.75;1.4711567164719584e-67;1.0;1
34.157;8.0;1.4689065793874221e-67;1.0;1
34.15382;8.25;1.4664260378787305e-67;1.0;1
34.15247;8.5;1.465374240731523e-67;1.0;1
34.15324;8.75;1.4659740624924778e-67;1.0;1
34.15406;9.0;1.4666131028026104e-67;1.0;1
34.15082;9.25;1.4640897320105016e-67;1.0;1
34.15171;9.5;1.4647824487483326e-67;1.0;1
34.15165;9.75;1.4647357384757368e-67;1.0;1
34.15165;10.0;1.4647357384757368e-67;1.0;1
34.15094;10.25;1.4641831129713426e-67;1.0;1
34.14553;10.5;1.4599790815298573e-67;1.0;1
34.14282;10.75;1.4578777055769434e-67;1.0;1
34.14235;11.0;1.4575135671890929e-67;1.0;1
34.13906;11.25;1.454967135613712e-67;1.0;1
34.13618;11.5;1.4527416807418476e-67;1.0;1
34.13253;11.75;1.4499261000399703e-67;1.0;1
34.12859;12.0;1.4468929200251458e-67;1.0;1
34.12518;12.25;1.4442728628711185e-67;1.0;1
34.12371;12.5;1.4431448546486397e-67;1.0;1
34.123;12.75;1.4426003488896391e-67;1.0;1
34.12447;13.0;1.4437279328890127e-67;1.0;1
34.12429;13.25;1.4435898141930308e-67;1.0;1
34.12471;13.5;1.4439121116403841e-67;1.0;1
34.12024;13.75;1.4404856231711047e-67;1.0;1
34.115;14.0;1.4364792075318904e-67;1.0;1
34.10647;14.25;1.429981056385619e-67;1.0;1
34.10235;14.5;1.4268529437865147e-67;1.0;1
34.10264;14.75;1.4270729031447519e-67;1.0;1
34.11549;15.0;1.4368533820405266e-67;1.0;2
34.10516;15.25;1.4289856975845517e-67;1.0;2
34.13672;15.5;1.4531586949280996e-67;1.0;2
34.23371;15.75;1.5300276633408922e-67;1.0;2
34.42622;16.0;1.694811432634791e-67;1.0;2
34.72104;16.25;1.982089073363105e-67;1.0;2
35.12375;16.5;2.4544516306694487e-67;1.0;2
35.61708;16.75;3.188506305408502e-67;1.0;2
36.1925;17.0;4.325200496312826e-67;1.0;2
36.83655;17.25;6.082225732655766e-67;1.0;2
37.54164;17.5;8.830020330021792e-67;1.0;2
38.29774;17.75;1.3162967189323073e-66;1.0;2
39.09878;18.0;2.0081846880499377e-66;1.0;2
39.94421;18.25;3.134314834213948e-66;1.0;2
40.82469;18.5;4.979604339674479e-66;1.0;2
41.7454;18.75;8.074274370714605e-66;1.0;2
42.69183;19.0;1.3259419348367763e-65;1.0;2
43.66753;19.25;2.2091987314734744e-65;1.0;2
44.66731;19.5;3.724122887521531e-65;1.0;2
45.6928;19.75;6.356706955789708e-65;1.0;2
46.74168;20.0;1.0972459737199105e-64;1.0;2
47.8057;20.25;1.9069999098056052e-64;1.0;2
48.88834;20.5;3.342996061829496e-64;1.0;2
49.98967;20.75;5.9108676369584294e-64;1.0;2
51.10446;21.0;1.0512361463377586e-63;1.0;2
52.23305;21.25;1.8807936402727256e-63;1.0;2
53.37523;21.5;3.3846079334715904e-63;1.0;2
54.5253;21.75;6.108209610352618e-63;1.0;2
55.68474;22.0;1.1063077457723021e-62;1.0;2
56.85935;22.25;2.0168233453672496e-62;1.0;2
58.04364;22.5;3.690229277978841e-62;1.0;2
59.23476;22.75;6.7668934058158645e-62;1.0;2
60.43665;23.0;1.2460468143225397e-61;1.0;2
61.64896;23.25;2.3035413632477663e-61;1.0;2
62.86358;23.5;4.2577473644177346e-61;1.0;2
64.0847;23.75;7.884967296604506e-61;1.0;2
65.30787;24.0;1.4597367987857236e-60;1.0;2
66.53528;24.25;2.704445101872791e-60;1.0;2
67.76738;24.5;5.015363100880402e-60;1.0;2
