#EXPORTTYPE:DATA SINGLE
#FILE:00592013__Al2O3_900_5_N2_20_air_20.ngb-ds1
#FTYPE:ANSI
#IDENTITY:005920
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#PROJECT:
#DATE/TIME:21.07.2025 08:33
#CORR. FILE:005919_bline_Al2O3_900_5_N2_20_air_20.ngb-bs1
#TEMPCAL:TCALZERO.TCX
#SENSITIVITY:SENSZERO.EXX
#LABORATORY: 11
#OPERATOR:
#REMARK:
#SAMPLE:1
#SAMPLE MASS /mg:9.99
#MATERIAL:
#REFERENCE:
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:DSC/TG pan Al2O3
#SAMPLE CRUCIBLE MASS /mg:0
#REFERENCE CRUCIBLE MASS /mg:0
#DSC RANGE /V:5000
#TG RANGE /mg:5000
#TAU-R:---
#CORR. CODE:020
#EXO:+1
#RANGE:35C/00:00/35C/5,0(K/min)/920C/
#SEGMENT:S1-2/2
#SEG. 1:35C/00:15/35C
#SEG. 2:35C/5,0(K/min)/920C

##Temp./C;Time/min;DSC/(uV/mg);Sensit./(uV/mW);Segment
52.23305;21.25;3.761030384732182e-95;1.0;2
53.37523;21.5;1.0263839893329227e-94;1.0;2
54.5253;21.75;2.81388146568887e-94;1.0;2
55.68474;22.0;7.759527075769653e-94;1.0;2
56.85935;22.25;2.1630616379035575e-93;1.0;2
58.04364;22.5;6.065854082690319e-93;1.0;2
59.23476;22.75;1.7068843718381957e-92;1.0;2
60.43665;23.0;4.8357877337158966e-92;1.0;2
61.64896;23.25;1.378859799466043e-91;1.0;2
62.86358;23.5;3.9291690845846594e-91;1.0;2
64.0847;23.75;1.1229630353540346e-90;1.0;2
65.30787;24.0;3.2065665437475003e-90;1.0;2
66.53528;24.25;9.164990815449576e-90;1.0;2
67.76738;24.5;2.6229819146200717e-89;1.0;2
69.00398;24.75;7.515302969077123e-89;1.0;2
70.24448;25.0;2.1545261639311047e-88;1.0;2
71.48621;25.25;6.16622347112751e-88;1.0;2
72.72937;25.5;1.7620518321817899e-87;1.0;2
73.97395;25.75;5.027386264339296e-87;1.0;2
75.22398;26.0;1.4369922158793091e-86;1.0;2
76.46965;26.25;4.0810705761561654e-86;1.0;2
77.71669;26.5;1.157153276894802e-85;1.0;2
78.96561;26.75;3.277065894385695e-85;1.0;2
80.21691;27.0;9.273246050494603e-85;1.0;2
81.47146;27.25;2.623835690399292e-84;1.0;2
82.72618;27.5;7.404330487620739e-84;1.0;2
83.9838;27.75;2.088599119386031e-83;1.0;2
85.24469;28.0;5.890715185952643e-83;1.0;2
86.50762;28.25;1.6595011482451106e-82;1.0;2
87.77336;28.5;4.6725163375828824e-82;1.0;2
89.03755;28.75;1.3101993531001904e-81;1.0;2
90.30329;29.0;3.6680501025935514e-81;1.0;2
91.5698;29.25;1.0246263964971072e-80;1.0;2
92.84121;29.5;2.865330264300275e-80;1.0;2
94.11325;29.75;7.993824887476426e-80;1.0;2
95.38379;30.0;2.221061275075121e-79;1.0;2
96.65528;30.25;6.158132428864982e-79;1.0;2
97.92917;30.5;1.7057689660761116e-78;1.0;2
99.20502;30.75;4.718618063701277e-78;1.0;2
100.48187;31.0;1.3025547846986074e-77;1.0;2
101.76103;31.25;3.591792625163123e-77;1.0;2
103.0401;31.5;9.874856525017351e-77;1.0;2
104.31801;31.75;2.7045128215400873e-76;1.0;2
105.59486;32.0;7.379442195899702e-76;1.0;2
106.87277;32.25;2.0093614391905985e-75;1.0;2
108.14964;32.5;5.451019109693001e-75;1.0;2
109.42405;32.75;1.4716537262918987e-74;1.0;2
110.69828;33.0;3.961114804629166e-74;1.0;2
111.97273;33.25;1.0632809143519193e-73;1.0;2
113.24768;33.5;2.8470202215712707e-73;1.0;2
114.5243;33.75;7.610870858603684e-73;1.0;2
115.79992;34.0;2.0271471978923408e-72;1.0;2
117.07061;34.25;5.363414465776877e-72;1.0;2
118.34429;34.5;1.4182054825766436e-71;1.0;2
119.61531;34.75;3.731684368285805e-71;1.0;2
120.88649;35.0;9.792069652571962e-71;1.0;2
122.16033;35.25;2.5672475639827263e-70;1.0;2
123.43437;35.5;6.712311097873613e-70;1.0;2
124.70811;35.75;1.7495397297020778e-69;1.0;2
125.98445;36.0;4.555822532261833e-69;1.0;2
127.25882;36.25;1.1811685687853689e-68;1.0;2
128.53598;36.5;3.059871992998925e-68;1.0;2
129.81523;36.75;7.916024450238806e-68;1.0;2
131.09562;37.0;2.0436764455664362e-67;1.0;2
132.37539;37.25;5.258372253254582e-67;1.0;2
133.6561;37.5;1.3499712794657578e-66;1.0;2
134.93464;37.75;3.450159940580791e-66;1.0;2
136.21274;38.0;8.789227526686837e-66;1.0;2
137.49378;38.25;2.237325845934627e-65;1.0;2
138.77313;38.5;5.671610343488945e-65;1.0;2
140.05453;38.75;1.4356963015061112e-64;1.0;2
141.33595;39.0;3.623729354217643e-64;1.0;2
142.61859;39.25;9.127684175295858e-64;1.0;2
143.90183;39.5;2.2934036206086359e-63;1.0;2
145.18944;39.75;5.763463158410603e-63;1.0;2
146.47718;40.0;1.4442591867060118e-62;1.0;2
147.76393;40.25;3.605949467082677e-62;1.0;2
149.05209;40.5;8.985609809636165e-62;1.0;2
150.3408;40.75;2.2333728942667546e-61;1.0;2
151.62972;41.0;5.5354793375647276e-61;1.0;2
152.91426;41.25;1.3637412825128067e-60;1.0;2
154.20148;41.5;3.356187342047519e-60;1.0;2
155.49062;41.75;8.246317860232913e-60;1.0;2
156.77878;42.0;2.0188030439795162e-59;1.0;2
158.06561;42.25;4.923179116098726e-59;1.0;2
159.35196;42.5;1.1966676698494997e-58;1.0;2
160.63758;42.75;2.8987085655464678e-58;1.0;2
161.92341;43.0;7.001971453972097e-58;1.0;2
163.2086;43.25;1.685653675336544e-57;1.0;2
164.4928;43.5;4.0434038686407834e-57;1.0;2
165.78154;43.75;9.700354626401224e-57;1.0;2
167.06936;44.0;2.3188587851292944e-56;1.0;2
168.34977;44.25;5.499360850761169e-56;1.0;2
169.63009;44.5;1.3003389674932785e-55;1.0;2
170.91554;44.75;3.0762645686680495e-55;1.0;2
172.19972;45.0;7.250131510504598e-55;1.0;2
173.48406;45.25;1.7038816789486965e-54;1.0;2
174.77172;45.5;4.001401997744558e-54;1.0;2
176.05543;45.75;9.344837023574614e-54;1.0;2
177.33935;46.0;2.176292952326924e-53;1.0;2
178.6242;46.25;5.0565376848136175e-53;1.0;2
179.90738;46.5;1.1701447943794662e-52;1.0;2
181.18829;46.75;2.6959504396770672e-52;1.0;2
182.47006;47.0;6.196664316577718e-52;1.0;2
183.75097;47.25;1.4193607157815603e-51;1.0;2
185.03425;47.5;3.2465471832630627e-51;1.0;2
186.31782;47.75;7.405568639597945e-51;1.0;2
187.59983;48.0;1.6826297692105366e-50;1.0;2
188.88373;48.25;3.8165493487024003e-50;1.0;2
190.16923;48.5;8.640120889488872e-50;1.0;2
191.45527;48.75;1.950920568527293e-49;1.0;2
192.74072;49.0;4.390555391979111e-49;1.0;2
194.02732;49.25;9.859058725381426e-49;1.0;2
195.31354;49.5;2.2068287821257214e-48;1.0;2
196.59608;49.75;4.913910701891272e-48;1.0;2
197.87824;50.0;1.0907165179254826e-47;1.0;2
199.16401;50.25;2.419331269742893e-47;1.0;2
200.44764;50.5;5.343528983980791e-47;1.0;2
201.73136;50.75;1.1768233685373372e-46;1.0;2
203.01783;51.0;2.5885165168892146e-46;1.0;2
204.30347;51.25;5.674029801380477e-46;1.0;2
205.58928;51.5;1.2402219044909177e-45;1.0;2
206.87537;51.75;2.703352494176877e-45;1.0;2
208.15991;52.0;5.869780027559859e-45;1.0;2
209.44345;52.25;1.27000319715596e-44;1.0;2
210.72681;52.5;2.7394762073965873e-44;1.0;2
212.01088;52.75;5.894415203527077e-44;1.0;2
213.2936;53.0;1.2635472349414143e-43;1.0;2
214.5738;53.25;2.696643330425548e-43;1.0;2
215.85693;53.5;5.748278282865451e-43;1.0;2
217.1376;53.75;1.2199802311548005e-42;1.0;2
218.41693;54.0;2.5796452845374823e-42;1.0;2
219.69612;54.25;5.4383432956179216e-42;1.0;2
220.97422;54.5;1.1424414347776358e-41;1.0;2
222.25371;54.75;2.394898122465245e-41;1.0;2
223.53235;55.0;5.003366814899998e-41;1.0;2
224.81021;55.25;1.0417890315416231e-40;1.0;2
226.09061;55.5;2.16602907681727e-40;1.0;2
227.36843;55.75;4.483784870581387e-40;1.0;2
228.64768;56.0;9.262208168233928e-40;1.0;2
229.92791;56.25;1.9087945538140868e-39;1.0;2
231.20642;56.5;3.918478741676822e-39;1.0;2
232.48561;56.75;8.023749434162253e-39;1.0;2
233.76529;57.0;1.6386673823641563e-38;1.0;2
235.04474;57.25;3.3364373951386826e-38;1.0;2
236.32303;57.5;6.769108564065776e-38;1.0;2
237.60062;57.75;1.3688303609337105e-37;1.0;2
238.87774;58.0;2.759270124317524e-37;1.0;2
240.15528;58.25;5.547246731469483e-37;1.0;2
241.43348;58.5;1.1123841631934952e-36;1.0;2
242.71028;58.75;2.2224922559537035e-36;1.0;2
243.98549;59.0;4.4237803660711355e-36;1.0;2
245.26213;59.25;8.786641910198657e-36;1.0;2
246.53866;59.5;1.7400707441277963e-35;1.0;2
247.81596;59.75;3.437392133716074e-35;1.0;2
249.09604;60.0;6.780620697272249e-35;1.0;2
250.37415;60.25;1.3322692775309113e-34;1.0;2
251.65413;60.5;2.612631642234847e-34;1.0;2
252.93088;60.75;5.099934307255954e-34;1.0;2
254.20527;61.0;9.914194431197451e-34;1.0;2
255.48188;61.25;1.9239530305025555e-33;1.0;2
256.75935;61.5;3.7244691359337296e-33;1.0;2
258.03566;61.75;7.18478878799343e-33;1.0;2
259.31061;62.0;1.3810275987262186e-32;1.0;2
260.5913;62.25;2.654625868966418e-32;1.0;2
261.86723;62.5;5.0756147105525e-32;1.0;2
263.14207;62.75;9.671117107228997e-32;1.0;2
264.4204;63.0;1.8406433306528389e-31;1.0;2
265.69965;63.25;3.494613984420891e-31;1.0;2
