#EXPORTTYPE:DATA SINGLE
#FTYPE:ANSI
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#PROJECT:
#CORR. FILE:005925_bline_Al2O3_900_7.5_N2_20_air_20.ngb-bs1
#TEMPCAL:TCALZERO.TCX
#SENSITIVITY:SENSZERO.EXX
#LABORATORY:13
#OPERATOR:
#REMARK:
#SAMPLE:4
#SAMPLE MASS /mg:7.42
#MATERIAL:
#REFERENCE:
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:DSC/TG pan Al2O3
#SAMPLE CRUCIBLE MASS /mg:0
#REFERENCE CRUCIBLE MASS /mg:0
#DSC RANGE /V:5000
#TG RANGE /mg:5000
#TAU-R:---
#CORR. CODE:020
#EXO:+1
#RANGE:35C/7,5(K/min)/920�C
#SEGMENT:S1/1
#SEG. 1:35�C/7,5(K/min)/920�C

##Temp./�C;Time/min;DSC/(uV/mg);Sensit./(uV/mW)
34.14896;0.5;1.5021520698868148e-33;1.0
34.59436;1.0;1.7021628748119198e-33;1.0
35.68375;1.5;2.3098940289193944e-33;1.0
37.32905;2.0;3.6587799896058474e-33;1.0
39.42311;2.5;6.556599778461522e-33;1.0
41.82416;3.0;1.2762759121496717e-32;1.0
44.48642;3.5;2.661707009963453e-32;1.0
47.36371;4.0;5.866273047821059e-32;1.0
50.40853;4.5;1.3474563150758612e-31;1.0
53.59856;5.0;3.203678086593197e-31;1.0
56.91062;5.5;7.8296812927546035e-31;1.0
60.33416;6.0;1.960211228927577e-30;1.0
63.83709;6.5;4.9816031881199644e-30;1.0
67.40722;7.0;1.2804417035285617e-29;1.0
71.01816;7.5;3.304564493362461e-29;1.0
74.673;8.0;8.56803598345702e-29;1.0
78.36113;8.5;2.225176610053178e-28;1.0
82.0722;9.0;5.772057101384268e-28;1.0
85.82376;9.5;1.5019574840556543e-27;1.0
89.60155;10.0;3.905551054978739e-27;1.0
93.40258;10.5;1.013941736682325e-26;1.0
97.22127;11.0;2.62415141039577e-26;1.0
101.0636;11.5;6.77958861458202e-26;1.0
104.91793;12.0;1.7432566405396865e-25;1.0
108.78251;12.5;4.459104269907426e-25;1.0
112.64249;13.0;1.1305441476588157e-24;1.0
116.50784;13.5;2.847892671419136e-24;1.0
120.36778;14.0;7.109465580427047e-24;1.0
124.22933;14.5;1.7617938488473766e-23;1.0
128.09969;15.0;4.3410946074030295e-23;1.0
131.96873;15.5;1.0610469095112107e-22;1.0
135.85067;16.0;2.5809075486733027e-22;1.0
139.73913;16.5;6.238108223530817e-22;1.0
143.63669;17.0;1.4990279134489834e-21;1.0
147.54049;17.5;3.578848245917311e-21;1.0
151.44664;18.0;8.481363206383588e-21;1.0
155.35118;18.5;1.9934070505247762e-20;1.0
159.25395;19.0;4.6464741175066834e-20;1.0
163.1588;19.5;1.0750048106246009e-19;1.0
167.05856;20.0;2.464856966999613e-19;1.0
170.9538;20.5;5.601867279662814e-19;1.0
174.8622;21.0;1.2666032039211809e-18;1.0
178.75347;21.5;2.8312249773477853e-18;1.0
182.6578;22.0;6.295784437013555e-18;1.0
186.56078;22.5;1.3885789255120863e-17;1.0
190.46731;23.0;3.040639336339862e-17;1.0
194.36991;23.5;6.600572468142154e-17;1.0
198.27002;24.0;1.4208666847694693e-16;1.0
202.16893;24.5;3.033856911731379e-16;1.0
206.06338;25.0;6.421535605559467e-16;1.0
209.95464;25.5;1.3477241298539035e-15;1.0
213.84576;26.0;2.806326264334291e-15;1.0
217.73087;26.5;5.79132476414693e-15;1.0
221.61424;27.0;1.1854309915685762e-14;1.0
225.49647;27.5;2.4070498303764325e-14;1.0
229.38404;28.0;4.854139556821378e-14;1.0
233.26766;28.5;9.705725959912529e-14;1.0
237.15058;29.0;1.9252640899758836e-13;1.0
241.03071;29.5;3.78742102732904e-13;1.0
244.90976;30.0;7.391327287852673e-13;1.0
248.78506;30.5;1.4303203409730894e-12;1.0
252.66656;31.0;2.7492178823979353e-12;1.0
256.53507;31.5;5.231857283779519e-12;1.0
260.40607;32.0;9.883379506802262e-12;1.0
264.2732;32.5;1.851423795061205e-11;1.0
268.14446;33.0;3.443662561832363e-11;1.0
272.01558;33.5;6.355463368771062e-11;1.0
