#EXPORTTYPE:DATA SINGLE
#FTYPE:ANSI
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#PROJECT:
#CORR. FILE:005925_bline_Al2O3_900_7.5_N2_20_air_20.ngb-bs1
#TEMPCAL:TCALZERO.TCX
#SENSITIVITY:SENSZERO.EXX
#LABORATORY:13
#OPERATOR:
#REMARK:
#SAMPLE:4
#SAMPLE MASS /mg:7.42
#MATERIAL:
#REFERENCE:
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:DSC/TG pan Al2O3
#SAMPLE CRUCIBLE MASS /mg:0
#REFERENCE CRUCIBLE MASS /mg:0
#DSC RANGE /V:5000
#TG RANGE /mg:5000
#TAU-R:---
#CORR. CODE:020
#EXO:+1
#RANGE:35C/7,5(K/min)/920�C
#SEGMENT:S1/1
#SEG. 1:35�C/7,5(K/min)/920�C

##Temp./�C;Time/min;DSC/(uV/mg);Sensit./(uV/mW)
34.14896;0.5;3.601405806167642e-34;1.0
34.59436;1.0;4.088837768560055e-34;1.0
35.68375;1.5;5.574996040503755e-34;1.0
37.32905;2.0;8.893740425193903e-34;1.0
39.42311;2.5;1.6082597539454177e-33;1.0
41.82416;3.0;3.163099492310806e-33;1.0
44.48642;3.5;6.672514716720953e-33;1.0
47.36371;4.0;1.4887838242021608e-32;1.0
50.40853;4.5;3.4642608600839595e-32;1.0
53.59856;5.0;8.348580211782285e-32;1.0
56.91062;5.5;2.0690497470742338e-31;1.0
60.33416;6.0;5.254913732779373e-31;1.0
63.83709;6.5;1.355125102187096e-30;1.0
67.40722;7.0;3.535127689342793e-30;1.0
71.01816;7.5;9.260467721583504e-30;1.0
74.673;8.0;2.437339468003716e-29;1.0
78.36113;8.5;6.425957735054423e-29;1.0
82.0722;9.0;1.6921779569350022e-28;1.0
85.82376;9.5;4.470421412630328e-28;1.0
89.60155;10.0;1.1802008376837382e-27;1.0
93.40258;10.5;3.1107905077688713e-27;1.0
97.22127;11.0;8.173760607050367e-27;1.0
101.0636;11.5;2.1439387459404805e-26;1.0
104.91793;12.0;5.596630513223185e-26;1.0
108.78251;12.5;1.4532694870476818e-25;1.0
112.64249;13.0;3.73999501295606e-25;1.0
116.50784;13.5;9.562260537599692e-25;1.0
120.36778;14.0;2.422578500692067e-24;1.0
124.22933;14.5;6.0920314620732585e-24;1.0
128.09969;15.0;1.5231628809726147e-23;1.0
131.96873;15.5;3.7772777582088366e-23;1.0
135.85067;16.0;9.3216797247035e-23;1.0
139.73913;16.5;2.285712253115991e-22;1.0
143.63669;17.0;5.571841068418181e-22;1.0
147.54049;17.5;1.3493395530747078e-21;1.0
151.44664;18.0;3.2433581765698786e-21;1.0
155.35118;18.5;7.730945119039452e-21;1.0
159.25395;19.0;1.827356756953346e-20;1.0
163.1588;19.5;4.286820479390015e-20;1.0
167.05856;20.0;9.965348970887238e-20;1.0
170.9538;20.5;2.2959443746746174e-19;1.0
174.8622;21.0;5.26229890301642e-19;1.0
178.75347;21.5;1.1921986069895425e-18;1.0
182.6578;22.0;2.6868391029264995e-18;1.0
186.56078;22.5;6.005325988373761e-18;1.0
190.46731;23.0;1.3325053892990224e-17;1.0
194.36991;23.5;2.930735157268278e-17;1.0
198.27002;24.0;6.391374549741654e-17;1.0
202.16893;24.5;1.3824167442416615e-16;1.0
206.06338;25.0;2.9637265618798645e-16;1.0
209.95464;25.5;6.2995555892755385e-16;1.0
213.84576;26.0;1.328358920804488e-15;1.0
217.73087;26.5;2.7757101106112093e-15;1.0
221.61424;27.0;5.75238571343237e-15;1.0
225.49647;27.5;1.1824691966446972e-14;1.0
229.38404;28.0;2.4138839133435563e-14;1.0
233.26766;28.5;4.8852316572364165e-14;1.0
237.15058;29.0;9.807505980569051e-14;1.0
241.03071;29.5;1.9524429763899312e-13;1.0
244.90976;30.0;3.855506267361172e-13;1.0
248.78506;30.5;7.548675527098975e-13;1.0
252.66656;31.0;1.4678859784947157e-12;1.0
256.53507;31.5;2.8257073840276927e-12;1.0
260.40607;32.0;5.399175553241528e-12;1.0
