#EXPORTTYPE:DATA SINGLE
#FTYPE:ANSI
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#PROJECT:
#CORR. FILE:005925_bline_Al2O3_900_7.5_N2_20_air_20.ngb-bs1
#TEMPCAL:TCALZERO.TCX
#SENSITIVITY:SENSZERO.EXX
#LABORATORY:13
#OPERATOR:
#REMARK:
#SAMPLE:4
#SAMPLE MASS /mg:7.42
#MATERIAL:
#REFERENCE:
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:DSC/TG pan Al2O3
#SAMPLE CRUCIBLE MASS /mg:0
#REFERENCE CRUCIBLE MASS /mg:0
#DSC RANGE /V:5000
#TG RANGE /mg:5000
#TAU-R:---
#CORR. CODE:020
#EXO:+1
#RANGE:35C/7,5(K/min)/920�C
#SEGMENT:S1/1
#SEG. 1:35�C/7,5(K/min)/920�C

##Temp./�C;Time/min;DSC/(uV/mg);Sensit./(uV/mW)
34.14896;0.5;7.315298519812318e-142;1.0
34.59436;1.0;1.1790901926694883e-141;1.0
35.68375;1.5;3.784167341083497e-141;1.0
37.32905;2.0;2.1932660429460555e-140;1.0
39.42311;2.5;2.0386806444515137e-139;1.0
41.82416;3.0;2.602616850433105e-138;1.0
44.48642;3.5;4.3313585700831e-137;1.0
47.36371;4.0;8.919810278055163e-136;1.0
50.40853;4.5;2.1560357483637349e-134;1.0
53.59856;5.0;5.960611043783411e-133;1.0
56.91062;5.5;1.8357142100572366e-131;1.0
60.33416;6.0;6.2168093102723205e-130;1.0
63.83709;6.5;2.2360882045678988e-128;1.0
67.40722;7.0;8.424884218900624e-127;1.0
71.01816;7.5;3.233697219706471e-125;1.0
74.673;8.0;1.2673551795382456e-123;1.0
78.36113;8.5;5.014310534781387e-122;1.0
82.0722;9.0;1.981147528080607e-120;1.0
85.82376;9.5;7.94867118502309e-119;1.0
89.60155;10.0;3.191257566158428e-117;1.0
93.40258;10.5;1.2777160218695186e-115;1.0
